Category,State, Description,Source
Small Business Relief,Nebraska,$100 million of livestock producers stabilization program.,Governor
Small Business Relief,Nebraska,$230 million for a Small Business & Livestock Producers Stabilization program meant for small businesses in industries hit hardest by COVID-19 between 5-49 employees.,Governor
Small Business Relief,Nebraska,"$40 million to for business remote access to 41 Communities; size 1,000 to 5,000 in population 26,285 households, 63,852 citizens impacted; $1,500 per household (installation), approximately 14 of 31 telecoms in Nebraska are already doing business in these communities; all communities target have less than 2% fiber for the home.",Governor
Small Business Relief,Nebraska,"Gallup Back to Business Learning $1 million, business stabilization and growth training.",Governor
Small Business Relief,Nebraska,Up to $5 million for administration support to all business programs.,Governor
Small Business Relief,Nebraska,"Workforce Re-Training Initiative $16 million, 12,000 students at $1,100 per grant, $2.4 million for career coaches/navigators, admin., faculty, and distribution system.",Governor
Small Business Relief,Nevada,$20 million to a COVID-19 Statewide Commercial Real Estate Rental Relief Program to assist Nevada business owners including non-profit organizations who have lost monthly revenues due to COVID-19.,Governor
Small Business Relief,Nevada,"$20 million to the Pandemic Emergency Technical Support grant to help small businesses, non-profit organizations, arts and culture organizations, and local Chamber of Commerce impacted by the COVID-19 pandemic.",Governor
Small Business Relief,Nevada,Addition of $1.05 million to develop a comprehensive economic response plan for the immediate effects of the COVID-19 public health emergency through the Governor's Office of Economic Development.,Legislature
Small Business Relief,Nevada,Addition of $20 million transferred from the CARES Act 2020 Account to establish a Nevada COVID-19 Emergency Small Business Recovery Grant Program.,Legislature
Small Business Relief,Nevada,"An additional $31 million in federal COVID-19 relief funds into Pandemic Emergency Technical Support Grant, bringing the total funding to $51 million that is available to eligible small businesses and nonprofits.",Media
Small Business Relief,Nevada,Nearly $63.4 million to the Emergency Small Business grants category to support demand for the Pandemic Emergency Technical Support program to assist small businesses that have been financially affected by the COVID-19 pandemic,Legislature
Small Business Relief,New Hampshire,"$100 million to a Main Street Relief Fund or MSRF 2.0 follows the General Assistance & Preservation (GAP) Fund. MSRF 2.0 supports both (1) businesses that did not receive grants from the initial round of MSRF or the General Assistance & Preservation (GAP) Fund, and (2) businesses that received grants of less than the maximum $350,000 from the initial round of MSRF or the GAP Fund, if eligible according to the criteria described below. Businesses that received a Self Employed Livelihood Fund (SELF) grant are not eligible for MSRF 2.0.",Governor
Small Business Relief,New Hampshire,$12 million to non-profits.,Media
Small Business Relief,New Hampshire,$12 million to the Live Venue Relief Program.,Governor
Small Business Relief,New Hampshire,$491 million for the Main Street Relief Fund.,Governor
Small Business Relief,New Hampshire,"Governor Chris Sununu authorized the allocation and expenditure of $400 million from the CARES Act Coronavirus Relief Fund ('úflex funds'ù) to provide emergency financial relief to support New Hampshire small, for-profit businesses due to the economic disruption caused by COVID-19. A $30 Small Business Gap Fund was created The Governor for small business who did not receive PPP loans. The Program will be administered by the Business finance Authority.",Governor
Small Business Relief,New Hampshire,Governor Chris Sununu has authorized the allocation and expenditure of $100 million from the CARES Act Coronavirus Relief Fund ('úflex funds'ù) for Main Street Relief Fund 2.0 in order to continue providing economic support to New Hampshire small businesses suffering from business interruptions as a result of COVID-19,Governor
Small Business Relief,New Hampshire,"The Governor authorized the allocation and expenditure of $10 million in emergency funding from the CARES Act Coronavirus Relief Fund to support New Hampshire dairy farmers, and specialty crop producers, including fruit, vegetable, and ornamental plant growers, and maple producers, with COVID-19 related expenses and lost revenues from March 1, 2020 to December 30, 2020. Specifically, the Governor has authorized the allocation of $4.5 million to dairy farmers for milk price support; $1.5 million to specialty crop producers in order to ease the burden of substantial new COVID-19-related costs like extra cleaning and sanitizing, ensuring social distancing, and lost revenues; and $4 million for emergency grants to ensure stability in the food supply. The New Hampshire Department of Agriculture, Markets and Food ('úAgriculture'ù) will administer these programs.",Governor
Small Business Relief,New Hampshire,"The Governor has authorized the allocation and expenditure of $30 million of CARES Act Coronavirus Relief Funds ('úflex funds'ù) for the New Hampshire General Assistance & Preservation (GAP) Fund to provide emergency financial relief to New Hampshire businesses and nonprofit organizations impacted by the COVID-19 pandemic, but that have been unable to access support from other existing state and federal programs.",Governor
Small Business Relief,New Hampshire,"The Live Venue Relief Program was granted $12 million in CARES funds to give grants to businesses engaged in offering live theater, music, sports or racing events with tickets sold and open to the public.",Media
Small Business Relief,New Jersey,$12.25 million to the New Jersey Redevelopment Authority for small business grants for lease costs at COVID-impacted businesses,State
Small Business Relief,New Jersey,$193.8 million to the New Jersey Economic Development Authority for grants programs to small businesses experiencing a COVID-19 related hardship.,State
Small Business Relief,New Jersey,$21.5 million to the New Jersey Economic Development Authority Funding for small business purchases of PPE.,State
Small Business Relief,New Jersey,"$3 million to the Department of Community Affairs for a Main Street NJ grant program to participating business districts for recovery of Main Street corridors hard-hit by the economic impacts of COVID-19, particularly retail and restaurant businesses.",State
Small Business Relief,New Jersey,"$3.1 million to the Department of Community Affairs for to the Neighborhood Revitalization Tax Credit (NRTC) program to support NRTC small businesses that have reduced demand as a result of COVID-19, reimbursement for the costs of business interruption caused by closures, and procurement of PPE.",State
Small Business Relief,New Jersey,$5 million for New Jersey State Council on the Arts assistance.,State
Small Business Relief,New Jersey,$8.2 million for small business grants to non-profit entities that provide Mobile Response and Stabilization Services that have experienced a hardship due to COVID-19,State
Small Business Relief,New Mexico,"$100 million for grants of up to $50,000 for small businesses and nonprofits, with a prioritization of the hospitality and restaurant industry.",Legislation
Small Business Relief,New York,"$100 million to the New York Forward Loan Fund to provide flexible and affordable loans to help small businesses, focusing on minority and women owned small businesses, that did not receive federal COVID-19 assistance. he state will take a smart, targeted approach for distributing these loans, focusing on businesses with 20 or fewer employees and less than $3 million in gross revenues.",Governor
Small Business Relief,New York,"$12.4 million to New York's Marine Fisheries Relief Program to assist marine fishing industries, like seafood, marine commercial, and for-hire fishing industries after excessive business losses due to the pandemic. The distribution will occur in two phases, $6.7 million and later $5.7 million.",Governor
Small Business Relief,North Carolina,$125 million in small business loans administered through the Golden LEAF Foundation.,Governor
Small Business Relief,North Dakota,"$366.1 million for economic support for business, including $110 million for two BND (Bank of North Dakota) low-interest loan programs designed to help businesses recover, $69.7 million for a North Dakota Restart Economic Development Grant program to help small businesses improve sales and retain staff, and $66.7 million for oil well plugging and site reclamation to assist the oil industry maintain between 300 to 550 oil and gas service jobs.",State
Small Business Relief,North Dakota,"$49 million will be provided to support business recovery across the state through the Department of Commerce and the Bank of North Dakota. This reallocation of funding includes $29 million to Commerce, in addition to the repurposing of approximately up to $25 million for a total of $54 million to be distributed to businesses within the hospitality and entertainment industries who have been most directly impacted by COVID-19 pandemic guidelines.",State
Small Business Relief,North Dakota,"$8 million to the Department Commerce for expansion of the Hospitality Economic Resiliency Grant program to include the hotel and motel industry. Hotel and motel operators will be eligible for grants of up to $40,000 per location, with a maximum of $80,000 for applicants with multiple locations. Applicants must be a North Dakota business and demonstrate negative financial impact from the pandemic.",State
Small Business Relief,North Dakota,"$800,000 in grants for qualifying nonprofit organizations that have been negatively impacted by the pandemic and are at risk of folding due to the inability to generate revenue through performance events and education programs.",State
Small Business Relief,Ohio,$125 million to small businesses,Media
Small Business Relief,Ohio,$37.5 million for bars and restaurants,Media
Small Business Relief,Ohio,$45 million for non-profits and performing arts organizations,Media
Small Business Relief,Ohio,$5 million for Minority and Women Owned Businesses.,Other
Small Business Relief,Oklahoma,$100 million to the Oklahoma Business Relief Program (OBRP) to support local businesses impacted by COVID-19. OBRP offers vital funding for businesses that have suffered revenue loss due to the pandemic. ,Governor
Small Business Relief,Oregon,$10 million to provide personal protective equipment (PPE) for small businesses.,Legislation
Small Business Relief,Oregon,"$20 million to the Oregon Business Development Department for business, innovation and trade, for providing financial assistance to small businesses affected by economic conditions associated with the COVID-19 pandemic",Legislation
Small Business Relief,Oregon,$25.6 million in emergency assistance for small businesses that have been negatively impacted by the coronavirus recession.,Legislation
Small Business Relief,Oregon,$3 million in technical assistance to minority- and women-owned businesses.,Legislation
Small Business Relief,Oregon,"$55 million to counties to distribute to small businesses who have been financially impacted, with a priority for the hospitality industry, businesses impacted by the freeze, small businesses, and women, Black, Indigenous, People of Color, and Tribal-owned businesses. Each county will receive a base of $500,000 plus a per capita allocation of the remainder of the funds.",Governor
Small Business Relief,Oregon,"$62 million for a grant to The Contingent, an organization with pre-existing state contract relationships in partnership with the Black United Fund, to be used for Black relief and resiliency.",Legislation
Small Business Relief,Oregon,"$93.8 million to the Oregon Business Development Department for the purpose of establishing a commercial rent relief program. Grants will go to small businesses with fewer than 100 full-time employees that are headquartered in Oregon and have struggled to pay rent due to the impact of the state's coronavirus restrictions. Money will be distributed regionally, in proportion to each area's population.",Legislation
Small Business Relief,Pennsylvania,"$100 million for the Historically Disadvantaged Business Revitalization Program for small businesses that experienced loss as a result of the business closure order, have or will incur costs to adapt to new business operations related to COVID-19, and in which socially and economically disadvantaged individuals own at least a 51 percent interest and also control management and daily business operations. Part of a larger COVID-19 Relief Pennsylvania Statewide Small Business Assistance $225 million relief package for small businesses to the Department of Community and Economic Development through a distribution to Community Development Financial Institutions (CDFIs). Grants range from $5,000 to $50,000 to small businesses that have been economically impacted by COVID-19.",Governor
Small Business Relief,Pennsylvania,"$100 million for the Main Street Business Revitalization Program for small businesses that experienced loss as a result of the governor's March 19, 2020 order relating to the closure of all non-life-sustaining businesses and have or will incur costs to adapt to new business operations related to COVID-19. Part of a larger COVID-19 Relief Pennsylvania Statewide Small Business Assistance $225 million relief package for small businesses to the Department of Community and Economic Development through a distribution to Community Development Financial Institutions (CDFIs). Grants range from $5,000 to $50,000 to small businesses that have been economically impacted by COVID-19.",Governor
Small Business Relief,Pennsylvania,"$25 million for the Loan Payment Deferment and Loss Reserve Program, which will allow the CDFIs the opportunity to offer forbearance and payment relief for existing portfolio businesses that are struggling due to the impact of COVID, as well as shore up the financial position of the CDFIs that are experiencing significant increased defaults in their existing loan portfolios. Part of a larger COVID-19 Relief Pennsylvania Statewide Small Business Assistance $225 million relief package for small businesses to the Department of Community and Economic Development through a distribution to Community Development Financial Institutions (CDFIs). Grants range from $5,000 to $50,000 to small businesses that have been economically impacted by COVID-19.",Governor
Small Business Relief,Rhode Island," The RI State Council on the Arts (RISCA) has awarded close to $1 million in Covid Relief Funds (CRF) to artists, professional arts education associations, and arts and culture organizations. These grants announced today provide badly needed assistance to organizations, artists and arts educators who continue to experience economic hardship as a result of the COVID-19 pandemic.",State
Small Business Relief,Rhode Island,$20 million from the Small Business Development Fund which the General Assembly authorized during the last legislative session. This funding will enable us to offer loans of a size that exceeds the grant amounts.,State
Small Business Relief,Rhode Island,$20 million to hotels and the tourism sector.,Media
Small Business Relief,Rhode Island,$3.5 million to support business repositioning. Creation of a Repositioning program that will fund small businesses' short-term efforts to reposition their businesses by the end of Calendar Year 2020.,State
Small Business Relief,Rhode Island,$5.5 million to support Technical Assistance and Other Business Supports. Funds provided for a broad range of technical assistance and other business supports to assist small businesses with financial planning and adapting their businesses to the new economic landscape. $1 million to support businesses navigating receivership. Up to $2.5 million to non-profits. $1 million in direct payments to small businesses to access assistance from professionals such as CPAs and financial advisors.,State
Small Business Relief,Rhode Island,"$50 million to compensate business losses during the 3-week post-Thanksgiving ""pause"".",Media
Small Business Relief,Rhode Island,$55 million in grants to help small businesses reopen amid the ongoing pandemic.,Media
Small Business Relief,Rhode Island,"Restore RI: $100 million to assist businesses with reopening expenses and fixed costs (e.g. purchasing PPE, purchasing plexiglass, sourcing cleaning supplies, making physical alterations, upgrading technology such as touchless payment and online reservation systems, rent, utilities). 20% of these funds will be designated for minority-owned business enterprises. Grants will be available for up to $15,000 for eligible Rhode Island businesses impacted by COVID-19. Grant amounts will be calculated based on the number of employees and the degree of revenue loss. Note: Up to $12.5 million is available to supplement the Restore RI fund should additional funds be necessary.",State
Small Business Relief,South Carolina,$40 million will be allocated for small business grants and $25 million will be allocated for nonprofit grants.,Media
Small Business Relief,South Dakota,$10 million in direct grants to recently started eligible South Dakota businesses whose growth has been impacted as a result of the pandemic.,Governor
Small Business Relief,South Dakota,"$400 million to assist small businesses. Grants awarded up to $100,000 per qualifying business.",Governor
Small Business Relief,Tennessee,"$50 million to the Supplemental Employer Recovery Grant program to provide additional relief to small businesses suffering during the COVID-19 pandemic. This funding includes specific support for minority-owned, women-owned and veteran-owned businesses, as well as businesses owned by disabled persons",Governor
Small Business Relief,Tennessee,"$55 million for a Coronavirus Agricultural and Forestry Business (CAFB) Fund to provide financial assistance to agricultural, food, forestry, and nonprofit agricultural entities in Tennessee. Recipients were awarded based on four categories relative to COVID-19 impact and response: business disruption, pandemic response, supply chain enhancement, and increased meat processing capacity. Applicants who had not received COVID-19 relief funding from other available programs were given priority.",Governor
Small Business Relief,Tennessee,The Tennessee Business Relief Program will direct approximately $200 million in federal Coronavirus Relief Funds through the Department of Revenue directly to small businesses that qualify.,Governor
Small Business Relief,Utah,$1 million for a Stay Safe to Stay Open campaign. A s a statewide campaign to meet the critical imperatives of helping Utah address the health-related objectives to prevent and recover from the coronavirus while at the same time assisting the business community in an effort to appropriately strengthen our state's economy.,Legislation
Small Business Relief,Utah,$1 million for mobile testing for businesses.,Legislation
Small Business Relief,Utah,"$5 million for an Oil, Mining, and Gas Grant Program. The program was for qualifying companies with fewer than 250 full-time equivalent employees that incurred expenses or were operating at a net loss due to the pandemic.",Legislation
Small Business Relief,Utah,"$5 million to a ""Safe in Utah"" program for employers to buy personal protective equipment for their workers and customers.",State
Small Business Relief,Utah,"$55 million for the COVID-19 Impacted Businesses Grant Program, Shop in Utah. The grant program helps support small businesses and provides discounts to consumers.",State
Small Business Relief,Utah,"UT SB 3006 was adopted into law to provide relief to Utah agricultural producers who are suffering losses due to national and state efforts to mitigate the potential and actual financial harm from the COVID 19 pandemic. Immediate economic relief is available in the form of one-time grants (up to $40,000 per agricultural operation). The grants are funded by pass-through federal funds under the CARES Act, there is no fee to apply and unlike loans, these grants do not require repayment.",State
Small Business Relief,Vermont,$1.4 million DCF OEO for Economic Micro Business Recovery Assistance,Legislation
Small Business Relief,Vermont,"$192,000 to VHCB for support to farm and food businesses",Legislation
Small Business Relief,Vermont,$20 million to ACCD for grants to non M&R/S&U businesses,Legislation
Small Business Relief,Vermont,$21.2 million to AAFM for Dairy Assistance Program for milk producers,Legislation
Small Business Relief,Vermont,$26 million to the ACCD for economic recovery grants per secs. 2 and 3 of S.350,Legislation
Small Business Relief,Vermont,$3.8 million to AAFM for Dairy Assistance Program for dairy processors,Legislation
Small Business Relief,Vermont,$5 million to AAFM to VEDA for Non-dairy Ag Producer and Processor Assistance Program,Legislation
Small Business Relief,Vermont,$5 million to ANR to VEDA for Forest Economy Stabilization Grant Program,Legislation
Small Business Relief,Vermont,$5 million to the VT Community Loan Fund for minority and women-owned small businesses,Legislation
Small Business Relief,Vermont,$50 million to TAX for grants to small businesses (M&R/S&U),Legislation
Small Business Relief,Vermont,$56 million to TAX for economic recovery grants per secs. 2 and 3 of S.350,Legislation
Small Business Relief,Virginia,$20 million in federal CARES Act funding to the rebuild VA economic recovery fund to fulfill pending grants to small businesses and nonprofits seeking relief from losses due to the COVID-19 pandemic and subsequent economic restrictions.,State
Small Business Relief,Virginia,$5 million to the Department of Small Business and Supplier Diversity - Small business assistance grants supplement,State
Small Business Relief,Virginia,$70 million to the Department of Small Business and Supplier Diversity - small business assistance grants.,State
Small Business Relief,Washington,"$2 million for the Creative Districts program to help stabilize, recover, and preserve arts and culture organizations during the pandemic.",State
Small Business Relief,Washington,"$325,000 to support TVW, which has experienced an unprecedented number of individuals accessing pandemic-related content.",State
Small Business Relief,Washington,"$5 million for cultural organization grants. To continue the Working Washington Small Business Grant program. These grants of up to $10,000 are available to businesses that have up to 10 employees and have been in business for at least one year.",State
Small Business Relief,Washington,"$50 million for business and nonprofit organization assistance with rent, mortgage, utilities, and other business expenses; historically disadvantaged small business owners; and small business resiliency technical assistance contractors.",State
Small Business Relief,Washington,"$50 million for business assistance grants providing for expenses, including (but not limited to) rent, mortgage and utility assistance, and to help prevent permanent closure of businesses. The department will prioritize businesses owned by black, indigenous and people of color.",State
Small Business Relief,West Virginia,$30 million to West Virginia CARES Act Small Business Grant Program.,Governor
Small Business Relief,Wisconsin,$10 million to support privately owned movie theaters,Governor
Small Business Relief,Wisconsin,$25 million for an agricultural food security initiative through the Food Security Initiative. The initiative is comprised of two grants; COVID-19 Food Security Network Support Grant; and the COVID-19 Food Security and Wisconsin Products Grant. First round of funding included $15 million. On Oct. 5 Gov. Tony Evers announced an additional $10 million.,State
Small Business Relief,Wisconsin,$45 million to the We're All In For Restaurants program for restaurants and other targeted small businesses affected by the COVID-19 pandemic.,Governor
Small Business Relief,Wisconsin,$50 million for an agricultural farm support program.,State
Small Business Relief,Wisconsin,"$50 million of $5,000 We're All In Grants to more than 10,000 Wisconsin small businesses. We're All In Grants will prioritize businesses most impacted by the pandemic, including restaurants and taverns, hair and nail salons and barber shops, and other services. It will be administered by the Wisconsin Department of Revenue in partnership with WEDC.",Governor
Small Business Relief,Wisconsin,"$6 million to support small businesses through the We're All In program. The program will provide up to $5,000 grants for an estimated 9,300 businesses.",Governor
Small Business Relief,Wisconsin,"$75 million in assistance to small businesses. These $2,500 cash grants will assist with the costs of business interruption or for health and safety improvements, wages and salaries, rent, mortgages, and inventory.",State
Small Business Relief,Wyoming,$100 million for business relief programs.,State
Technology/Broadband,Alabama,$100 million for educational remote learning devices.,State
Technology/Broadband,Alabama,$50.3 million to a broadband voucher program.,State
Technology/Broadband,Alaska,$1 million Department Laptops for Telework.,State
Technology/Broadband,Alaska,"$12,000 CRFêDept Zoom Video Webinar Services.",State
Technology/Broadband,Alaska,"$136,911 LAW Secure Remote Access System (Citrix) Expansion for COVID",State
Technology/Broadband,Alaska,"$228,721 for DOR Software for COVID-ê19 Economic Analysis.",State
Technology/Broadband,Alaska,"$25,000 CRF Video Closed Captioning Service.",State
Technology/Broadband,Alaska,"$35,000 Regulatory Commission of Alaska Laptops for Remote Work.",State
Technology/Broadband,Alaska,"$5,000 AMYA Media Components Replacement",State
Technology/Broadband,Alaska,"$520,035 DNR Improve Geospatial Data Security for Remote Access.",State
Technology/Broadband,Alaska,"$60,000 Online Public Comment System for Improved Management under COVID-ê19.",State
Technology/Broadband,Arizona,$2 million for skilled nursing and long term care facilities for virtual visitation (AZ Stay Connected Program),State
Technology/Broadband,Arkansas,"$142,733 in reimbursement for costs associated with the 2020 Legislative Session & Spring 2020 AMI for Virtual Learning.",State
Technology/Broadband,Arkansas,"$19.3 to the Department of Commerce for the deployment of Broadband in Arkansas - distance learning, telehealth/medicine, telework, etc.",State
Technology/Broadband,Arkansas,"$2.3 million to the University of Arkansas for Medical Sciences for the Deployment of Broadband in Arkansas - distance learning, telehealth/medicine, telework, etc.",State
Technology/Broadband,Arkansas,$4 million to the Department of Finance and Administration for a Contract with CTEH to provide professional and technical services and an IT database solution to administer the CARES Act funding.,State
Technology/Broadband,Arkansas,"$45,666 to the Admin. Office of the Courts for reimbursement for cost of video conferencing software licenses to support courts statewide.",State
Technology/Broadband,Arkansas,"$450,000 to the Department of Labor & Licensing for an Electronic Licensing System.",State
Technology/Broadband,Arkansas,$5 million to the Department of Commerce for administrative costs of the Arkansas Rural Connect Emergency Coronavirus Program.,State
Technology/Broadband,Arkansas,$5.2 million to Arkansas PBS for Universal DTV Broadcast Coverage Plan.,State
Technology/Broadband,Arkansas,$8.7 million to the Department of Commerce for UI IT Modernization.,State
Technology/Broadband,Arkansas,"$88,179 to the Department of Energy and Environment for a Proposal for reimbursement of IT equipment to monitor and remotely perform inspections.",State
Technology/Broadband,Arkansas,$95 million to the Department of Commerce for the Arkansas Rural Connect Emergency Coronavirus Program - Broadband request.,State
Technology/Broadband,California,$73.9 million to expense public employee telework capabilities.,State
Technology/Broadband,Delaware,$14.2 million is DTI statewide technology costs.,State
Technology/Broadband,Georgia,$1.3 million to improve telework capabilities for public employees.,State
Technology/Broadband,Georgia,$1.8 million for technical assistance on mitigation of COVID-19 related threats.,State
Technology/Broadband,Hawaii,$1.9 million to the Department of Human Services for Telework technologies; telecommunications hardware and software; on-line client resource services; security and anti-fraud.,State
Technology/Broadband,Hawaii,"$131,150 to the Department of Business, Economic Dev & Tourism for Broadband and telehealth access for community nonprofits.",State
Technology/Broadband,Hawaii,$16 million to the Department of Labor and Industrial Relations for Security services; Hawai Convention Center facility costs and equipment for claims processing & call center; consultation and equipment costs to upgrade UI claims processing system.,State
Technology/Broadband,Hawaii,$2 million to the Department of Human Services for information technology and other systems.,State
Technology/Broadband,Hawaii,$4.7 million to the Department of Human Services for scalable information and communication technology.,State
Technology/Broadband,Hawaii,"$700,000 to the House of Representatives for Improving teleworking capabilities of employees; PPE and cleaning supplies.",State
Technology/Broadband,Hawaii,"$8.1 million to the Department of Labor and Industrial Relations for information technology, systems and staffing.",State
Technology/Broadband,Idaho,$1.9 million to the Office of Information Technology Services to improve the state's firewalls.,Governor
Technology/Broadband,Idaho,$4.7 million to Information Technology Services.,Governor
Technology/Broadband,Idaho,"$50 million to the Department of Commerce for broadband infrastructure to support distance education, remote work, and telehealth.",Governor
Technology/Broadband,Iowa,"$64 million is going toward expanding access to tele-work, tele-health and tele-learning. This includes broadband expansion and IT upgrades. ",Media
Technology/Broadband,Kansas,$10 million to bolster internet speeds for low-income residents.,Media
Technology/Broadband,Kansas,"$50 million was approved by the State Finance Council to fund grants that will help connect 76,735 households, 5,996 businesses, and 636 anchor institutions like libraries, schools, and health departments to high speed internet.",Media
Technology/Broadband,Maine,"$5.4 million to support increased hacking, phishing, and computer fraud.",State
Technology/Broadband,Maine,$5.6 million in CARES Act Coronavirus Relief Fund (CRF) monies to fund the construction of permanent internet infrastructure that will bring high-speed broadband to more than 730 students across rural Maine.,Governor
Technology/Broadband,Maryland,"$25 million to the Governor's Office of Rural Broadband for the construction a wireless education network for students' use in Western Maryland, Southern Maryland, and on the Eastern Shore. This network will initially be constructed in the areas that currently lack broadband service, but could be expanded to cover other areas of the state where access may be limited for other reasons. The state is proposing a wireless, Long-Term Evolution (LTE) network using frequency provided by the Federal Communications Commission (FCC) for educational purposes, or available unlicensed frequencies. In total, the governor has now committed $20 million in CARES Act funding to expand rural broadband and an additional $5 million for urban broadband.",Governor
Technology/Broadband,Massachusetts,"$9.2 million to subsidize internet for low-income populations, and to expand hot spots in unserved and underserved communities.",Governor
Technology/Broadband,Michigan,"$25 million for device purchases, broadband and low income connectivity.",Legislation
Technology/Broadband,Minnesota,"$6,000 to the Office of Administrative Hearings to improve telework capabilities.",State
Technology/Broadband,Mississippi,$75 million for a Broadband COVID-19 Grant Program for electric cooperatives and providers to expand high-speed internet access throughout the state.,Media
Technology/Broadband,Mississippi,A $10 million reallocation from the Budget Contingency Fund to the Mississippi Wireless Information Network that provides emergency responders the reliable communication needed with hospital emergency rooms in connection with COVID-19.,State
Technology/Broadband,Mississippi,"Funding to K-12 connectivity, see K-12 category.",Media
Technology/Broadband,Mississippi,"Funding to K-12 digital learning, see K-12 category.",Media
Technology/Broadband,Missouri,"$10 million to support for expansion of remote learning capability for the rapid transition to online learning, colleges and universities consistently ranked internet connectivity issues as among their most significant challenges.",Governor
Technology/Broadband,Missouri,"Emergency Broadband Investment: This initiative allocates $20 million to establish a reimbursement program for broadband providers. It will assist providers with construction costs for new broadband expansion to households with students or vulnerable populations. By November of 2020, this program plans to make more than 10,000 new connections in unserved and underserved areas of the state.",Governor
Technology/Broadband,Missouri,"Funding for K-12 distance learning to increase student connectivity, see K-12 Education.",Governor
Technology/Broadband,Missouri,Libraries: The Office of the State Librarian within the Secretary of State's office will deploy $2.5 million to implement and administer a grant program for Missouri's libraries to access resources for hotspots and Wi-Fi enabled devices to support telehealth and students of higher education.,Governor
Technology/Broadband,Missouri,"Telehealth: $5.25 million will support connectivity for telehealth services for vulnerable populations. In partnership with Missouri Telehealth Network, located with the University of Missouri 'ì Columbia's School of Medicine, more than 12,500 hotspots will be secured for use by the Federally Qualified Health Centers and the Community Mental Health Centers.",Governor
Technology/Broadband,Montana,"Grants available to purchase equipment to assist Montanans with disabilities access teleworking equipment, see Community/Human Services.",Governor
Technology/Broadband,Nevada,"Alternative instruction which may provide internet connectivity to students, see K-12 Education.",Media
Technology/Broadband,New Hampshire,$1.9 million for the virtual learning academy support.,Governor
Technology/Broadband,New Hampshire,$13 million to Connecting New Hampshire - Emergency Broadband Expansion Program.,Governor
Technology/Broadband,New Jersey,$1.4 million for the Office of Information Technology costs for increased capacity on mainframe due to COVID-19.,State
Technology/Broadband,New York,IT and telecom equipment for remote agency operations: $48 million,Media
Technology/Broadband,North Carolina,"$30 million for a Growing Rural Economies with Access to Technology Fund in the 2019-2020 fiscal year, to be used for broadband grants.",Legislation
Technology/Broadband,North Carolina,$30 million for broadband internet expansion.,Media
Technology/Broadband,North Carolina,$9 million for rural broadband.,Governor
Technology/Broadband,North Dakota,$61.9 million went to the state's IT Department to improve telework and cybersecurity.,State
Technology/Broadband,Oklahoma,"$161 million to distribute 50,000 wireless hotspots among 175 school districts across the state to begin the upcoming school year through the Department of Education.",Media
Technology/Broadband,Oregon,"$20 million to support the Rural Broadband Capacity Program to support safe distancing practices by connecting schools, health care providers and businesses.",Legislation
Technology/Broadband,Oregon,"The Oregon Legislative Assembly Joint Emergency Board allocated $3.5 million for the Public Utility Commission, Residential Services Protection Fund, for funding to provide a greater discount on telephone and broadband services for eligible low-income households needing assistance due to the COVID-19 pandemic.",Legislation
Technology/Broadband,South Carolina,"$50 million for the Office of Regulatory Staff Broadband Mapping and Planning, Infrastructure and Mobile Hotspots. As specified in legislation, the Office of Regulatory Staff is directed to secure a vendor for the development of a broadband statewide county-by-county mapping plan and to secure a vendor for the development of a statewide broadband infrastructure plan. The infrastructure plan shall identify and prioritize communities in the state where access to broadband has impeded the delivery of distance learning, telework, and telehealth for the most vulnerable population of South Carolinians impacted by COVID-19. The plan must identify the role that public and private broadband operators can play in addressing the state's broadband plans. And, the Office of Regulatory Staff, in consultation with the State Department of Education and the Commission on Higher Education, shall procure mobile hotspots and monthly service through December 2020 for distribution to a minimum of 100,000 households. Eligibility shall be limited to households with an annual income of 250% or less of federal poverty guidelines that also have an individual attending a public or private K-12 school or a public or private college, university, or technical college. School districts, private schools, and institutions of higher learning will be responsible for distributing the hotspots and ensuring that appropriate security measures are installed on each hotspot. Priority should be given to households in counties that contain a school district that has been defined by the Department of Education as having a poverty rate greater than or equal to 86%.",Legislation
Technology/Broadband,Utah,$25 million for broadband internet upgrades for impacted communities.,Legislation
Technology/Broadband,Utah,$3.9 million to San Juan Country for Wi-Fi access.,Legislation
Technology/Broadband,Vermont,$1.5 million to ANR for VOREC,Legislation
Technology/Broadband,Vermont,"$100,000 DAIL (blind and visually impaired) for technology training for isolated seniors",Legislation
Technology/Broadband,Vermont,"$500,000 to DPS for Telecom recovery plan",Legislation
Technology/Broadband,Vermont,"$750,000 to the Legislature for State House COVID fixes and IT",Legislation
Technology/Broadband,Vermont,"$800,000 to DPS for Connected Community Resilience Program",Legislation
Technology/Broadband,Vermont,"$800,000 to VDH for Telehealth Connectivity Program",Legislation
Technology/Broadband,Vermont,Nearly $17.5 million to DPS for Accelerated Broadband Connectivity Program,Legislation
Technology/Broadband,Virginia,$30 million to the Department of Housing and Community Development - broadband accessibility,State
Technology/Broadband,Washington,"$24 million for the purchase of 64,000 computer devices for students across the state. These devices will enable students to receive their education in the new COVID-19 remote learning environment.",State
Technology/Broadband,Washington,"$250,000 to install infrastructure hardware for drive-in Wi-Fi locations at schools and libraries.",State
Technology/Broadband,Washington,"$60,000 for Consolidated Technology Services (WaTech) and Washington State University to install infrastructure hardware for drive-in WIFI locations at schools and libraries.",State
Technology/Broadband,West Virginia,$32.3 million to broadband development.,Governor
